Card Name,Mana Cost,Rarity,J2SJosh Rating,Cast Bucket,Required Colors,Hybrid Colors,Archetype,Archetype Code,Archetype Size,Role In Archetype,Rating Note,Scryfall URL,Image URL
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,White,W,1,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,Blue,U,1,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,Black,B,1,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,Red,R,1,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,Green,G,1,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,White/Blue,WU,2,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,White/Black,WB,2,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,White/Red,WR,2,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,White/Green,WG,2,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
"Emrakul, the Exigent Doom",{10},Mythic,1.5,Colorless,,,Blue/Black,UB,2,Colorless,,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137
