Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Cast Bucket,Required Colors,Hybrid Colors,Archetype Size Min,Archetypes,J2SJosh Rating,Rating Note,Second Half,Second Half Cost,Layout,Scryfall URL,Image URL,Collector Number
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,1
Academic Ascent,Academic Ascent,White,W,W,{1}{W},2,Common,Instant,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/2/academic-ascent,https://cards.scryfall.io/normal/front/7/3/730d8c28-1e58-4b8e-89e9-445d154d2e83.jpg?1788878081,2
Blossom-Blessed Angel // Seed Suture,Blossom-Blessed Angel,White,W,WG,{3}{W},4,Common,Creature — Angel Cleric,Mono White,W,WG,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Seed Suture,{G/W},prepare,https://scryfall.com/card/fra/3/blossom-blessed-angel-seed-suture,https://cards.scryfall.io/normal/front/5/e/5e77fbf0-9d1f-4e7d-a02e-43065d11b0d9.jpg?1789692643,3
Campus Crier,Campus Crier,White,W,W,{1}{W},2,Common,Creature — Human Advisor,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/4/campus-crier,https://cards.scryfall.io/normal/front/6/0/6047b14c-91d5-4f8e-af3f-057a541e2546.jpg?1788878120,4
Enlightened Confidant,Enlightened Confidant,White,W,W,{1}{W},2,Mythic,Creature — Kor Cleric,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/5/enlightened-confidant,https://cards.scryfall.io/normal/front/4/8/483fcc58-cc6e-4452-a696-7b38e117c837.jpg?1788329184,5
Fateshaper Aspirant,Fateshaper Aspirant,White,W,W,{4}{W},5,Common,Creature — Rhino Cleric,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/6/fateshaper-aspirant,https://cards.scryfall.io/normal/front/f/0/f0c8400d-824f-4d79-84bc-7615a0deb831.jpg?1789556683,6
Flickering Hound,Flickering Hound,White,W,W,{3}{W},4,Rare,Creature — Dog,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/7/flickering-hound,https://cards.scryfall.io/normal/front/6/8/686f3a25-305d-4f02-8972-eba7b8e9635f.jpg?1789470769,7
Generous Revival,Generous Revival,White,W,W,{2}{W},3,Uncommon,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/8/generous-revival,https://cards.scryfall.io/normal/front/f/8/f82f181b-a43b-4cec-b8f6-f6c1dd4c64fd.jpg?1788433351,8
Germinate Recruits,Germinate Recruits,White,W,W,{2}{W},3,Rare,Instant,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.0,,,,normal,https://scryfall.com/card/fra/9/germinate-recruits,https://cards.scryfall.io/normal/front/1/b/1b5d7d19-b32a-4786-ae9a-00da5e6658ad.jpg?1789644810,9
Graft Surgeon,Graft Surgeon,White,W,W,{2}{W},3,Common,Creature — Human Cleric,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/10/graft-surgeon,https://cards.scryfall.io/normal/front/3/2/32a7a905-11bf-4b66-a28e-1066a0e372b8.jpg?1789644811,10
Guiding Hydra,Guiding Hydra,White,W,W,{X}{W},1,Rare,Creature — Hydra Horror,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/11/guiding-hydra,https://cards.scryfall.io/normal/front/a/5/a53eb840-039d-4c45-b701-d58cb26b1a6c.jpg?1789644816,11
Hexhaven Battalion,Hexhaven Battalion,White,W,W,{4}{W}{W},6,Common,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/12/hexhaven-battalion,https://cards.scryfall.io/normal/front/3/b/3b6ac80e-c726-4bd0-893a-e666041a04a6.jpg?1789556695,12
Kindred Judgment,Kindred Judgment,White,W,W,{5}{W}{W},7,Rare,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/13/kindred-judgment,https://cards.scryfall.io/normal/front/6/f/6f9f814b-8249-4e48-a05e-4c84060fe6fb.jpg?1789470776,13
Loyal Tutor,Loyal Tutor,White,W,W,{W},1,Rare,Instant,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.0,,,,normal,https://scryfall.com/card/fra/14/loyal-tutor,https://cards.scryfall.io/normal/front/4/9/490dae91-94ce-42a9-a11f-6c5e77c4e486.jpg?1788878096,14
Memory Trap,Memory Trap,White,W,W,{2}{W},3,Common,Enchantment,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/15/memory-trap,https://cards.scryfall.io/normal/front/2/f/2f5345ae-4489-4d05-b2d5-c71285254f05.jpg?1788866058,15
Predictive Preparations,Predictive Preparations,White,W,W,{1}{W},2,Common,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/16/predictive-preparations,https://cards.scryfall.io/normal/front/5/0/50a0e5f0-3c39-4f16-9a73-eec8ef71f12e.jpg?1789556696,16
Prophesied End,Prophesied End,White,W,W,{1}{W},2,Uncommon,Instant,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/17/prophesied-end,https://cards.scryfall.io/normal/front/1/f/1f95399a-9766-4f3d-aa6a-ece55e0530d9.jpg?1788951920,17
Refute Destiny,Refute Destiny,White,W,W,{1}{W},2,Uncommon,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/18/refute-destiny,https://cards.scryfall.io/normal/front/2/c/2c588954-c6eb-4aae-a2fa-0651ccf2d90a.jpg?1789470778,18
Repurposed Enforcer,Repurposed Enforcer,White,W,W,{1}{W},2,Rare,Creature — Human Soldier,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/19/repurposed-enforcer,https://cards.scryfall.io/normal/front/3/5/35000e93-85d3-44f8-976a-5918ee4c71e0.jpg?1788878108,19
Return to the Light Realms,Return to the Light Realms,White,W,W,{7}{W}{W},9,Mythic,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,1.0,,,,normal,https://scryfall.com/card/fra/20/return-to-the-light-realms,https://cards.scryfall.io/normal/front/9/e/9e72f397-2384-40f1-882b-f627664d97df.jpg?1788878107,20
