Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,12,12,,normal,,,,1.5,,"I’ve always been a fan of Emrakul, both the character and the cards. This one doesn’t quite live up to the hype, though. It feels a little more like a nostalgia grab than an actual Limited bomb.

Even if you use the ability first, you’re still functionally paying nine mana for this. Untapping all your lands sounds great, but it probably matters less than you think because you’re likely going to be close to empty-handed by the time this actually hits the battlefield.

Sacrificing three permanents to target it with removal sounds like a massive cost, but that late in the game your opponent can probably just toss a few lands and move on with their life.

That’s a lot of setup for something I’m not convinced actually takes over the game.",Artifacts and Lands,https://mtgazone.com/reality-fracture-fra-limited-set-review-artifacts-and-lands/,1,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,c3ff8dd3-88a8-49dc-a59b-e2748680623c
Academic Ascent,Academic Ascent,White,W,W,{1}{W},2,Common,Instant,,,,normal,,,,1.5,,"Sometimes the smallest details are what separate a solid trick from filler. In this case, Academic Ascent really needed to Empower Jace for three instead of two.

That extra point would have allowed it to function as a cantrip instead of essentially giving you a double surveil. You’ll probably have plenty of other ways to Empower Jace, but needing another card before this actually replaces itself is a real drawback.

It’s one mana too expensive for the trick itself and one Empower short of providing enough extra value to make me interested.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,2,https://scryfall.com/card/fra/2/academic-ascent,https://cards.scryfall.io/normal/front/7/3/730d8c28-1e58-4b8e-89e9-445d154d2e83.jpg?1788878081,730d8c28-1e58-4b8e-89e9-445d154d2e83
Blossom-Blessed Angel // Seed Suture,Blossom-Blessed Angel,White,W,WG,{3}{W},4,Common,Creature — Angel Cleric,2,4,,prepare,Seed Suture,{G/W},Sorcery,2.0,,"This does a wonderful job of clogging up the board while still being able to peck in for some damage through the air. Nothing spectacular, but sometimes being mildly annoying in multiple directions is a perfectly acceptable career path.

I actually really like how the card is structured. If this were all stapled together as one five-mana package, I’d probably want nothing to do with it. Getting to spread the cost out makes it significantly easier to work with and keeps you from having another clunky five-drop rotting in your hand.

You even get a bonus life gain trigger thrown into the deal. It’s not going to blow anyone away, but there’s enough useful stuff here that I’m perfectly fine running it.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,3,https://scryfall.com/card/fra/3/blossom-blessed-angel-seed-suture,https://cards.scryfall.io/normal/front/5/e/5e77fbf0-9d1f-4e7d-a02e-43065d11b0d9.jpg?1789692643,5e77fbf0-9d1f-4e7d-a02e-43065d11b0d9
Campus Crier,Campus Crier,White,W,W,{1}{W},2,Common,Creature — Human Advisor,3,1,,normal,,,,2.0,,"I’m not going to cry about this one not giving you the full card back because you’re already getting a perfectly serviceable two-drop out of the deal.

How good a 3/1 for two is will depend a lot on how many 1/1 dorks your opponent is throwing around, but it definitely has the potential to trade up. It can also squeeze out a little extra value if it gets milled or discarded, which makes it a bit more useful than your average filler creature.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,4,https://scryfall.com/card/fra/4/campus-crier,https://cards.scryfall.io/normal/front/6/0/6047b14c-91d5-4f8e-af3f-057a541e2546.jpg?1788878120,6047b14c-91d5-4f8e-af3f-057a541e2546
Enlightened Confidant,Enlightened Confidant,White,W,W,{1}{W},2,Mythic,Creature — Kor Cleric,2,1,,normal,,,,3.5,,"The floor on this can’t be too low because, at the end of the day, it’s still a two-power lifelinker for two mana. Granted, that’s fallen a long way from the days when that alone would make people start getting excited.

If you’re behind and don’t have any other way to gain life, that’s basically all you’re getting here.

The reason it earns a 3.5 is the ceiling. If you’re ahead and have other ways to enable it, this can start taking over a game pretty quickly. That puts it right around the value of a strong uncommon: very good, very playable, but not something that’s going to make me slam the table and declare the draft over.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,5,https://scryfall.com/card/fra/5/enlightened-confidant,https://cards.scryfall.io/normal/front/4/8/483fcc58-cc6e-4452-a696-7b38e117c837.jpg?1788329184,483fcc58-cc6e-4452-a696-7b38e117c837
Fateshaper Aspirant,Fateshaper Aspirant,White,W,W,{4}{W},5,Common,Creature — Rhino Cleric,3,4,,normal,,,,1.5,,"This feels like a card that’s fated to be a one-of in a whole lot of decks.

I actually like most of the things it aspires to do, but five-drops can clog up your hand faster than Taco Bell clogs up…well, you know where this is going.

There are plenty of better uncommons and rares competing for that spot on the curve, so I’m never going to prioritize this. That said, I won’t be too upset when I have to run one.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,6,https://scryfall.com/card/fra/6/fateshaper-aspirant,https://cards.scryfall.io/normal/front/f/0/f0c8400d-824f-4d79-84bc-7615a0deb831.jpg?1789556683,f0c8400d-824f-4d79-84bc-7615a0deb831
Flickering Hound,Flickering Hound,White,W,W,{3}{W},4,Rare,Creature — Dog,2,2,,normal,,,,3.5,,"Your mileage is going to vary quite a bit on this one. The more ETB effects you have floating around, the more disgusting this gets.

There are going to be games where Flickering Hound plays like a straight-up 5.0 and buries your opponent in value. There are also going to be games where it hits the battlefield, immediately eats a two-mana removal spell, and makes you question some life choices.

The nice part is that it’s technically a build-around without really asking you to build around it. You already want to play good creatures with ETBs, so this mostly rewards you for doing something you were planning to do anyway.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,7,https://scryfall.com/card/fra/7/flickering-hound,https://cards.scryfall.io/normal/front/6/8/686f3a25-305d-4f02-8972-eba7b8e9635f.jpg?1789470769,686f3a25-305d-4f02-8972-eba7b8e9635f
Generous Revival,Generous Revival,White,W,W,{2}{W},3,Uncommon,Sorcery,,,,normal,,,,2.5,,"How generous this card actually feels is going to depend heavily on how many cheap creatures you have with ETB effects worth bringing back.

Even without any fancy nonsense, it can still be a two-for-one, which is never a bad place to start. The problem is that the second half of the deal is pretty expensive, so apparently generosity has its limits.

There’s enough value here to make the card playable, but I’m going to want the right deck before I get too excited about it.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,8,https://scryfall.com/card/fra/8/generous-revival,https://cards.scryfall.io/normal/front/f/8/f82f181b-a43b-4cec-b8f6-f6c1dd4c64fd.jpg?1788433351,f82f181b-a43b-4cec-b8f6-f6c1dd4c64fd
Germinate Recruits,Germinate Recruits,White,W,W,{2}{W},3,Rare,Instant,,,,normal,,,,1.0,,"It’s going to take a very specific deck before I’m interested in playing this.

A lot of the life gain cards in the set are handing out life one point at a time specifically to trigger your payoffs, which doesn’t exactly help this get where it wants to go. Maybe you can pair it with some giant lifelinkers and actually get paid off, but at that point it’s starting to sound an awful lot like a win-more scenario.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,9,https://scryfall.com/card/fra/9/germinate-recruits,https://cards.scryfall.io/normal/front/1/b/1b5d7d19-b32a-4786-ae9a-00da5e6658ad.jpg?1789644810,1b5d7d19-b32a-4786-ae9a-00da5e6658ad
Graft Surgeon,Graft Surgeon,White,W,W,{2}{W},3,Common,Creature — Human Cleric,2,2,,normal,,,,1.5,,"Sometimes an entire review can be summed up in one word.

Meh.

Mid.

Whatever the current term is for, “Yep, that sure is a Magic card.”

There’s nothing offensively bad here, but there’s also absolutely nothing making me care. This will end up in some draft decks, get cut from others, occasionally do something useful, and then vanish from everyone’s memory five minutes after the format ends.

Congratulations, Graft Surgeon. You are officially cardboard.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,10,https://scryfall.com/card/fra/10/graft-surgeon,https://cards.scryfall.io/normal/front/3/2/32a7a905-11bf-4b66-a28e-1066a0e372b8.jpg?1789644811,32a7a905-11bf-4b66-a28e-1066a0e372b8
