Card Name,Color,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,J2SJosh Rating,Scryfall URL,Image URL
Ajani Unrelenting,Red,{4}{R}{R},6,Mythic,Legendary Planeswalker — Ajani,,,5.0,https://scryfall.com/card/fra/242/ajani-unrelenting,https://cards.scryfall.io/normal/front/b/c/bc3c096f-7f6c-474c-a2c8-75d3e6ddd6f5.jpg?1788329317
"Garruk, Curse Breaker",Green,{3}{G}{G},5,Mythic,Legendary Planeswalker — Garruk,,,5.0,https://scryfall.com/card/fra/259/garruk-curse-breaker,https://cards.scryfall.io/normal/front/9/0/90ca5812-ceb5-46bd-b049-aed7ff10e6af.jpg?1788329370
"The Theorist, Jace Beleren",Blue,{2}{U}{U},4,Mythic,Legendary Planeswalker — Jace,,,5.0,https://scryfall.com/card/fra/43/the-theorist-jace-beleren,https://cards.scryfall.io/normal/front/2/0/20bb8c55-4b0b-425f-8201-b54fa2fdde86.jpg?1788329228
Aerid Konstrari,Multicolor (Red/Green),{1}{R}{G}{G},4,Mythic,Legendary Creature — Elder Sphinx,5,4,4.5,https://scryfall.com/card/fra/121/aerid-konstrari,https://cards.scryfall.io/normal/front/f/1/f17d2792-b075-4c47-ad38-e7a7eaee5f8c.jpg?1788878199
"Chandra, Torch of Defiance",Red,{2}{R}{R},4,Mythic,Legendary Planeswalker — Chandra,,,4.5,https://scryfall.com/card/fra/244/chandra-torch-of-defiance,https://cards.scryfall.io/normal/front/4/0/40cb22c8-cb03-45c9-bb0e-b8cabdcc43cd.jpg?1788329325
Denzilore Fatehold,Multicolor (White/Blue),{1}{W}{U}{U},4,Mythic,Legendary Creature — Elder Sphinx,3,4,4.5,https://scryfall.com/card/fra/128/denzilore-fatehold,https://cards.scryfall.io/normal/front/9/8/986f9e98-9d8d-428b-9187-860745cf3269.jpg?1788878215
"Garruk, Veiled Butcher",Black,{3}{B}{B},5,Mythic,Legendary Planeswalker — Garruk,,,4.5,https://scryfall.com/card/fra/229/garruk-veiled-butcher,https://cards.scryfall.io/normal/front/d/4/d48bfb8a-d135-45f3-be99-4694b4b9ab93.jpg?1788329269
Ingris Stingerquill,Multicolor (Black/Red),{B}{R}{R},3,Mythic,Legendary Creature — Elder Sphinx,1,4,4.5,https://scryfall.com/card/fra/137/ingris-stingerquill,https://cards.scryfall.io/normal/front/6/4/6471b135-33a8-4005-9a07-ebb74e0bf145.jpg?1788878212
Kwia Vigorbloom,Multicolor (White/Green),{3}{G}{W}{W},6,Mythic,Legendary Creature — Elder Sphinx,6,6,4.5,https://scryfall.com/card/fra/140/kwia-vigorbloom,https://cards.scryfall.io/normal/front/2/d/2d6ff182-a853-4898-895b-072c89324ca7.jpg?1788878236
Uldaros Theorix,Multicolor (Blue/Black),{3}{U}{B}{B},6,Mythic,Legendary Creature — Elder Sphinx,5,5,4.5,https://scryfall.com/card/fra/159/uldaros-theorix,https://cards.scryfall.io/normal/front/a/7/a7ad622a-42ff-48fa-ae95-12e0a5bd9387.jpg?1788878220
Verdant Kraken,Green,{4}{G}{G}{G},7,Rare,Creature — Plant Kraken,6,6,4.5,https://scryfall.com/card/fra/118/verdant-kraken,https://cards.scryfall.io/normal/front/2/b/2bb7a8eb-227f-410b-859f-750ef0aea2f0.jpg?1789644841
Ajani's Anguish,Red,{X}{R},1,Rare,Enchantment,,,4.0,https://scryfall.com/card/fra/72/ajanis-anguish,https://cards.scryfall.io/normal/front/d/9/d9039a58-2f17-4b8a-b714-3a2f0b46f057.jpg?1789470674
Avatar of Burgeoning Echoes,Multicolor (Blue/Green),{G}{U},2,Mythic,Creature — Avatar,2,3,4.0,https://scryfall.com/card/fra/122/avatar-of-burgeoning-echoes,https://cards.scryfall.io/normal/front/5/9/5905995b-7a20-4602-a7cc-90aa5089a082.jpg?1788878208
Curse-Marred Demon,Red,{2}{R}{R},4,Rare,Creature — Demon,4,4,4.0,https://scryfall.com/card/fra/79/curse-marred-demon,https://cards.scryfall.io/normal/front/8/f/8f827e50-0a08-4bc8-98b1-b26c9af15ef2.jpg?1789470818
Draconic Visitor,Red,{3}{R}{R},5,Rare,Creature — Dragon,5,5,4.0,https://scryfall.com/card/fra/80/draconic-visitor,https://cards.scryfall.io/normal/front/1/1/112f8478-bd89-4a14-9721-8ab750613129.jpg?1789470842
Guiding Hydra,White,{X}{W},1,Rare,Creature — Hydra Horror,1,0,4.0,https://scryfall.com/card/fra/11/guiding-hydra,https://cards.scryfall.io/normal/front/a/5/a53eb840-039d-4c45-b701-d58cb26b1a6c.jpg?1789644816
Hungering Puppetbeast,Green,{3}{G}{G},5,Rare,Artifact Creature — Beast Construct,5,5,4.0,https://scryfall.com/card/fra/107/hungering-puppetbeast,https://cards.scryfall.io/normal/front/3/d/3db2da7a-8088-4117-916b-f9c905d1b45b.jpg?1789127646
